case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2580, 0.700119, 7.1811e-09, 3.47605e-09, 4.47951e-08, 7.88332e-10, 7.91805e-10, 1.16022e-08, 1.02199e-08, 6.86346e-08, 6.99752e-07, 1.46203e-06, 0.356505, 0.944016, 1.46203e-06, 294.491
2595, 0.77988, 5.95041e-09, 3.5933e-09, 4.71646e-08, 1.01594e-09, 9.75904e-10, 1.44838e-08, 1.29284e-08, 7.31839e-08, 8.79572e-07, 1.47819e-06, 0.248615, 0.943657, 1.47819e-06, 297.306
2610, 0.817111, 4.51614e-09, 3.66688e-09, 4.67043e-08, 1.19417e-09, 1.07303e-09, 1.63741e-08, 1.4756e-08, 7.35286e-08, 9.97633e-07, 1.49067e-06, 0.20198, 0.943303, 1.49067e-06, 298.725
2625, 0.766101, 6.20998e-09, 3.37941e-09, 4.13817e-08, 1.04191e-09, 1.01051e-09, 1.49094e-08, 1.33453e-08, 6.79329e-08, 8.96718e-07, 1.49681e-06, 0.266441, 0.942952, 1.49681e-06, 298.157
2640, 0.744647, 6.59129e-09, 3.18564e-09, 3.80083e-08, 1.0107e-09, 1.00489e-09, 1.46037e-08, 1.30646e-08, 6.44045e-08, 8.72563e-07, 1.52563e-06, 0.294844, 0.942606, 1.52563e-06, 298.203
2655, 0.725861, 6.95947e-09, 2.93357e-09, 3.50063e-08, 9.55844e-10, 9.9188e-10, 1.40861e-08, 1.25866e-08, 6.09332e-08, 8.3565e-07, 1.54085e-06, 0.320396, 0.942264, 1.54085e-06, 298.202
2670, 0.748398, 5.78477e-09, 2.82645e-09, 3.40998e-08, 1.02741e-09, 1.01594e-09, 1.47372e-08, 1.32397e-08, 5.94916e-08, 8.7389e-07, 1.52519e-06, 0.28982, 0.941925, 1.52519e-06, 298.934
2685, 0.787088, 4.25037e-09, 2.72437e-09, 3.38788e-08, 1.19345e-09, 1.10218e-09, 1.6532e-08, 1.49685e-08, 5.96812e-08, 9.82336e-07, 1.57194e-06, 0.239415, 0.94159, 1.57194e-06, 300.295
2700, 0.79986, 3.68484e-09, 2.54671e-09, 3.25212e-08, 1.23613e-09, 1.12942e-09, 1.70981e-08, 1.55226e-08, 5.82164e-08, 1.01296e-06, 1.58654e-06, 0.223318, 0.941259, 1.58654e-06, 301
2715, 0.609064, 8.40313e-09, 2.14957e-09, 2.33896e-08, 6.75485e-10, 8.66137e-10, 1.11932e-08, 9.97299e-09, 4.66772e-08, 6.47199e-07, 1.59431e-06, 0.495832, 0.940932, 1.59431e-06, 297.202
2730, 0.742838, 4.54798e-09, 2.27371e-09, 2.69417e-08, 1.10809e-09, 1.06972e-09, 1.57526e-08, 1.42922e-08, 5.16938e-08, 9.22438e-07, 1.62222e-06, 0.297277, 0.940608, 1.62222e-06, 300.802
2745, 0.796042, 2.98707e-09, 2.09553e-09, 2.72646e-08, 1.25206e-09, 1.13576e-09, 1.7468e-08, 1.59311e-08, 5.22031e-08, 1.0227e-06, 1.62459e-06, 0.228103, 0.940288, 1.62459e-06, 302.301
2760, 0.748633, 3.85548e-09, 1.99087e-09, 2.42118e-08, 1.14204e-09, 1.08939e-09, 1.63043e-08, 1.4856e-08, 4.85939e-08, 9.48648e-07, 1.65537e-06, 0.289506, 0.939971, 1.65537e-06, 301.92
2775, 0.720264, 4.10533e-09, 1.7899e-09, 2.19942e-08, 1.02901e-09, 1.03178e-09, 1.51297e-08, 1.37714e-08, 4.50799e-08, 8.74828e-07, 1.65902e-06, 0.328138, 0.939658, 1.65902e-06, 301.467
2790, 0.654632, 4.9275e-09, 1.61941e-09, 1.88728e-08, 8.51051e-10, 9.38999e-10, 1.31433e-08, 1.19404e-08, 4.0353e-08, 7.54636e-07, 1.68603e-06, 0.423682, 0.939348, 1.68603e-06, 300.219
